               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10951,            0.016385,                   0,          0.00051852,            0.095238,          0.00033018,          9.8739e-05,             0.10402,            0.012922,                   0,              0.0712,              0.0032,              0.0032
                   1,             0.10612,            0.016366,                   0,          0.00059406,             0.12245,           0.0004062,          9.9542e-05,              0.1021,            0.013029,                   0,            0.041178,           0.0061782,           0.0061782
                   2,             0.10416,            0.016638,                   0,           0.0006422,             0.14286,          0.00038466,          9.4761e-05,             0.10058,            0.013136,                   0,             0.01083,           0.0088298,           0.0088298
                   3,             0.10117,            0.017258,                   0,          0.00029519,            0.088435,          0.00023774,          3.9982e-05,             0.13938,           0.0050247,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.098869,             0.01626,                   0,          0.00034014,             0.10204,          0.00026597,          6.3003e-05,             0.14374,           0.0058505,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.096288,            0.016409,                   0,          0.00072646,             0.21769,          0.00077908,            0.000159,              0.1176,           0.0097752,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.093177,            0.016696,                   0,          0.00095238,             0.28571,          0.00094931,          0.00019358,            0.099436,             0.01157,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.093243,            0.016865,                   0,           0.0011565,             0.34694,           0.0018749,          0.00043081,            0.088824,             0.01241,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.089124,            0.017351,                   0,           0.0014286,             0.42857,           0.0039017,           0.0010494,            0.083996,            0.012745,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.086082,            0.017189,                   0,           0.0010204,             0.30612,           0.0011245,           0.0002823,             0.10372,            0.010426,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.084003,            0.016957,                   0,           0.0020635,             0.61905,           0.0086206,           0.0018425,            0.083155,            0.012238,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.082997,            0.016503,                   0,           0.0019955,             0.59864,           0.0070996,           0.0012816,            0.087997,            0.011455,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.080431,             0.01709,                   0,          0.00079365,              0.2381,          0.00051762,          0.00010894,             0.11296,           0.0092556,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.078071,            0.016467,                   0,           0.0026531,             0.79592,            0.030456,           0.0072165,            0.074298,            0.012557,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.076746,            0.017281,                   0,            0.002585,             0.77551,            0.029704,           0.0068552,            0.074541,            0.012132,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.076561,            0.016599,                   0,           0.0022222,             0.66667,            0.019318,           0.0050371,            0.080375,            0.013433,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.073871,            0.017612,                   0,           0.0049159,              0.5034,            0.011964,           0.0024088,            0.082009,             0.01276,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.074112,            0.017428,                   0,            0.031387,              0.4898,            0.040251,            0.010735,            0.070709,            0.012198,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.071886,            0.017286,                   0,            0.022932,              0.5034,            0.031649,           0.0075122,            0.070688,            0.012186,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.070553,            0.017797,                   0,            0.019907,             0.35374,            0.016589,           0.0040536,            0.077059,            0.011895,                   0,             0.00109,             0.00109,             0.00109
